description,description_en,transaction_type,amount_range,tax_rate,debit_account_code,credit_account_code,debit_account_type,credit_account_type,confidence,source
duct tape,duct tape,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Ticket
Deepak Kumar Bhajan","Ticket
Deepak Kumar Bhajan",invoice,medium,0.0,400006,201002,,,0.95,real_odoo
Amaleeg flex cable 5C * 16MM2,Amaleeg flex cable 5C * 16MM2,invoice,large,15.0,410007,201002,,,0.95,real_odoo
Amaleeg flex cable 5C * 16MM2,Amaleeg flex cable 5C * 16MM2,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Brushless impact driver 18V,Brushless impact driver 18V,invoice,large,0.0,410007,201002,,,0.95,real_odoo
Castrol diesel 15W40,Castrol diesel 15W40,invoice,small,0.0,400041,201002,,,0.95,real_odoo
Roco copypaper A3,Roco copypaper A3,invoice,small,0.0,400033,201002,,,0.95,real_odoo
AFAQ Alarabia Flex Cable 3C*6MM2,AFAQ Alarabia Flex Cable 3C*6MM2,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
AFAQ Alarabia Flex Cable 3C*6MM2,AFAQ Alarabia Flex Cable 3C*6MM2,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Forgo Battery DIN66MF,Forgo Battery DIN66MF,invoice,small,0.0,410004,201002,,,0.95,real_odoo
"Adjustable Wrench TB 12""","Adjustable Wrench TB 12""",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"Adjustable Wrench TB 12""","Adjustable Wrench TB 12""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Hack saw frame,Hack saw frame,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Hack saw frame,Hack saw frame,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Acetylene Big,Acetylene Big,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Acetylene Big,Acetylene Big,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"service
تنفيذ شغل الكهرباء بالمستودع","service
تنفيذ شغل الكهرباء بالمستودع",invoice,medium,0.0,410007,201002,,,0.95,real_odoo
"service
ايجار رافعة لتصليح الانارة + باب المستودع","service
ايجار رافعة لتصليح الانارة + باب المستودع",invoice,small,0.0,410007,201002,,,0.95,real_odoo
"service
ايجار عمال + عدة","service
ايجار عمال + عدة",invoice,medium,0.0,410007,201002,,,0.95,real_odoo
"service
ايجار رافعة لتصليح لمبات المستودع","service
ايجار رافعة لتصليح لمبات المستودع",invoice,small,0.0,400034,201002,,,0.95,real_odoo
"service
ايجار عمال + عدة","service
ايجار عمال + عدة",invoice,small,0.0,400048,201002,,,0.95,real_odoo
"service
ايجار عمال","service
ايجار عمال",invoice,small,15.0,400048,201002,,,0.95,real_odoo
"service
ايجار عمال","service
ايجار عمال",invoice,small,15.0,104041,201002,,,0.95,real_odoo
service,service,invoice,small,0.0,400048,201002,,,0.95,real_odoo
"service
تحميل تريلا","service
تحميل تريلا",invoice,medium,0.0,410022,201002,,,0.95,real_odoo
Petrol,Petrol,invoice,small,0.0,410011,201002,,,0.95,real_odoo
حجر قص 4.50  بوصة الماني استيل,حجر قص 4.50  بوصة الماني استيل,invoice,small,15.0,410004,201002,,,0.95,real_odoo
حجر قص 4.50  بوصة الماني استيل,حجر قص 4.50  بوصة الماني استيل,invoice,small,15.0,104041,201002,,,0.95,real_odoo
كفوف ملبس اصفر خفيف,كفوف ملبس اصفر خفيف,invoice,small,15.0,410006,201002,,,0.95,real_odoo
كفوف ملبس اصفر خفيف,كفوف ملبس اصفر خفيف,invoice,small,15.0,104041,201002,,,0.95,real_odoo
CONTAINER SHELLS FOR 20 FT,CONTAINER SHELLS FOR 20 FT,invoice,xlarge,0.0,103022,201002,,,0.95,real_odoo
"CEMENT BOARD
CEMENT BOARD, 18MM (THK) x 1200MM(W)
x 2400MM(L)","CEMENT BOARD
CEMENT BOARD, 18MM (THK) x 1200MM(W)
x 2400MM(L)",invoice,large,15.0,410015,201002,,,0.95,real_odoo
"CEMENT BOARD
CEMENT BOARD, 18MM (THK) x 1200MM(W)
x 2400MM(L)","CEMENT BOARD
CEMENT BOARD, 18MM (THK) x 1200MM(W)
x 2400MM(L)",invoice,large,15.0,104041,201002,,,0.95,real_odoo
Sambles,Sambles,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Sambles,Sambles,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Diesel,Diesel,invoice,medium,15.0,410003,201002,,,0.95,real_odoo
Diesel,Diesel,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"one side pipe clamp 3/4""","one side pipe clamp 3/4""",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"one side pipe clamp 3/4""","one side pipe clamp 3/4""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Elbow white 2""","Elbow white 2""",invoice,medium,15.0,410007,201002,,,0.95,real_odoo
"Elbow white 2""","Elbow white 2""",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Savoy first aid spray 50 ml,Savoy first aid spray 50 ml,invoice,small,0.0,410006,201002,,,0.95,real_odoo
Engine oil 15W/40,Engine oil 15W/40,invoice,small,15.0,400041,201002,,,0.95,real_odoo
Engine oil 15W/40,Engine oil 15W/40,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Electric pipe black
1/2"" 20MM PVC","Electric pipe black
1/2"" 20MM PVC",invoice,medium,15.0,410007,201002,,,0.95,real_odoo
"Electric pipe black
1/2"" 20MM PVC","Electric pipe black
1/2"" 20MM PVC",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
RO Primer Red 16L,RO Primer Red 16L,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
RO Primer Red 16L,RO Primer Red 16L,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
TRT & other toner All color,TRT & other toner All color,invoice,small,15.0,400033,201002,,,0.95,real_odoo
TRT & other toner All color,TRT & other toner All color,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Acer Adapter,Acer Adapter,invoice,small,15.0,400027,201002,,,0.95,real_odoo
Acer Adapter,Acer Adapter,invoice,small,15.0,104041,201002,,,0.95,real_odoo
USB to USB cable 10 mtr,USB to USB cable 10 mtr,invoice,small,15.0,400027,201002,,,0.95,real_odoo
USB to USB cable 10 mtr,USB to USB cable 10 mtr,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Easy9 miniature circuit breaker
32AMP - 230 V","Easy9 miniature circuit breaker
32AMP - 230 V",invoice,medium,15.0,410007,201002,,,0.95,real_odoo
"Easy9 miniature circuit breaker
32AMP - 230 V","Easy9 miniature circuit breaker
32AMP - 230 V",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Pipe PVC 4"" white","Pipe PVC 4"" white",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"Pipe PVC 4"" white","Pipe PVC 4"" white",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Safety shoes U-Safe - INDIA
Safety Shoes","Safety shoes U-Safe - INDIA
Safety Shoes",invoice,small,15.0,410006,201002,,,0.95,real_odoo
"Safety shoes U-Safe - INDIA
Safety Shoes","Safety shoes U-Safe - INDIA
Safety Shoes",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Safety Tools,Safety Tools,invoice,medium,15.0,410006,201002,,,0.95,real_odoo
Safety Tools,Safety Tools,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Tools,Tools,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Tools,Tools,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Tools,Tools,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Tools,Tools,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
"Y PVC 4"" SCH 40","Y PVC 4"" SCH 40",invoice,medium,15.0,410007,201002,,,0.95,real_odoo
"Y PVC 4"" SCH 40","Y PVC 4"" SCH 40",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Wifi smart camera
CS-H3-R100-IH3WKFL","Wifi smart camera
CS-H3-R100-IH3WKFL",invoice,medium,15.0,410006,201002,,,0.95,real_odoo
"Wifi smart camera
CS-H3-R100-IH3WKFL","Wifi smart camera
CS-H3-R100-IH3WKFL",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Rider stainless steel hilti head 32,Rider stainless steel hilti head 32,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Rider stainless steel hilti head 32,Rider stainless steel hilti head 32,invoice,small,15.0,104041,201002,,,0.95,real_odoo
13AMP Plug 7*7,13AMP Plug 7*7,invoice,small,15.0,410007,201002,,,0.95,real_odoo
13AMP Plug 7*7,13AMP Plug 7*7,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Jotashield penetrating primer,Jotashield penetrating primer,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
Jotashield penetrating primer,Jotashield penetrating primer,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
G-thinners,G-thinners,invoice,small,15.0,410008,201002,,,0.95,real_odoo
G-thinners,G-thinners,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Rider Stainless steel Hilti Head,Rider Stainless steel Hilti Head,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Rider Stainless steel Hilti Head,Rider Stainless steel Hilti Head,invoice,small,15.0,104041,201002,,,0.95,real_odoo
مسمار شينكو ابيض 3/4 *8,مسمار شينكو ابيض 3/4 *8,invoice,small,15.0,410004,201002,,,0.95,real_odoo
مسمار شينكو ابيض 3/4 *8,مسمار شينكو ابيض 3/4 *8,invoice,small,15.0,104041,201002,,,0.95,real_odoo
strapes,strapes,invoice,small,0.0,410004,201002,,,0.95,real_odoo
"Roto cutting disk steel 14""","Roto cutting disk steel 14""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Roto cutting disk steel 14""","Roto cutting disk steel 14""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Flat Washer GI 8*5/16,Flat Washer GI 8*5/16,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Flat Washer GI 8*5/16,Flat Washer GI 8*5/16,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Steel rebar 10mm*3M,Steel rebar 10mm*3M,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Steel rebar 10mm*3M,Steel rebar 10mm*3M,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"premium
Mudad","premium
Mudad",invoice,medium,15.0,999002,201002,,,0.95,real_odoo
"premium
Mudad","premium
Mudad",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Legal Fees
Chamber Of Commerce","Legal Fees
Chamber Of Commerce",invoice,medium,0.0,999002,201002,,,0.95,real_odoo
"Fees
Moatasim Socpa Membership","Fees
Moatasim Socpa Membership",invoice,medium,0.0,400010,201002,,,0.95,real_odoo
Drill Bosch 13MM,Drill Bosch 13MM,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Drill Bosch 13MM,Drill Bosch 13MM,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Software
1 Years 11/12/2024 to 11/11/2025
4 Users","Software
1 Years 11/12/2024 to 11/11/2025
4 Users",invoice,medium,0.0,100023,201002,,,0.95,real_odoo
"Dark Gray
زنك فوسفات","Dark Gray
زنك فوسفات",invoice,medium,15.0,410008,201002,,,0.95,real_odoo
"Dark Gray
زنك فوسفات","Dark Gray
زنك فوسفات",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Wheel Alignment,Wheel Alignment,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Wheel Alignment,Wheel Alignment,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Wheel Balancing,Wheel Balancing,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Wheel Balancing,Wheel Balancing,invoice,small,15.0,104041,201002,,,0.95,real_odoo
JAZEERAT ALBINAA DAMMAM SAU,JAZEERAT ALBINAA DAMMAM SAU,invoice,small,15.0,410004,201002,,,0.95,real_odoo
JAZEERAT ALBINAA DAMMAM SAU,JAZEERAT ALBINAA DAMMAM SAU,invoice,small,15.0,104041,201002,,,0.95,real_odoo
JAZEERAT ALBINAA DAMMAM SAU,JAZEERAT ALBINAA DAMMAM SAU,invoice,small,15.0,410009,201002,,,0.95,real_odoo
moassat layan alnour a DAMMAM SAU,moassat layan alnour a DAMMAM SAU,invoice,small,15.0,410004,201002,,,0.95,real_odoo
moassat layan alnour a DAMMAM SAU,moassat layan alnour a DAMMAM SAU,invoice,small,15.0,104041,201002,,,0.95,real_odoo
AHMED.A.ALSFOOG ELECTRDAM Riyadh SAU,AHMED.A.ALSFOOG ELECTRDAM Riyadh SAU,invoice,small,15.0,410007,201002,,,0.95,real_odoo
AHMED.A.ALSFOOG ELECTRDAM Riyadh SAU,AHMED.A.ALSFOOG ELECTRDAM Riyadh SAU,invoice,small,15.0,104041,201002,,,0.95,real_odoo
JAZEERAT ALBINAA DAMMAM SAU,JAZEERAT ALBINAA DAMMAM SAU,invoice,small,15.0,410007,201002,,,0.95,real_odoo
"Tools
مفصلات حديد","Tools
مفصلات حديد",invoice,small,15.0,410009,201002,,,0.95,real_odoo
"Tools
مفصلات حديد","Tools
مفصلات حديد",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Nujoom Al-Athar Tradin RIYADH SAU,Nujoom Al-Athar Tradin RIYADH SAU,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Nujoom Al-Athar Tradin RIYADH SAU,Nujoom Al-Athar Tradin RIYADH SAU,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Tools
PHYNOWER / P220*23256 RHYNOWER","Tools
PHYNOWER / P220*23256 RHYNOWER",invoice,medium,15.0,410004,201002,,,0.95,real_odoo
"Tools
PHYNOWER / P220*23256 RHYNOWER","Tools
PHYNOWER / P220*23256 RHYNOWER",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Tools,Tools,invoice,large,15.0,410009,201002,,,0.95,real_odoo
Tools,Tools,invoice,large,15.0,410012,201002,,,0.95,real_odoo
"Maintenance
تكسيح حديد","Maintenance
تكسيح حديد",invoice,small,0.0,410004,201002,,,0.95,real_odoo
مسمار دريل اسود 7 -- 4/3,مسمار دريل اسود 7 -- 4/3,invoice,small,15.0,410004,201002,,,0.95,real_odoo
مسمار دريل اسود 7 -- 4/3,مسمار دريل اسود 7 -- 4/3,invoice,small,15.0,104041,201002,,,0.95,real_odoo
قاعدة مكيف,قاعدة مكيف,invoice,small,15.0,410004,201002,,,0.95,real_odoo
قاعدة مكيف,قاعدة مكيف,invoice,small,15.0,104041,201002,,,0.95,real_odoo
ريشة اركت بوش مشكل,ريشة اركت بوش مشكل,invoice,small,15.0,410004,201002,,,0.95,real_odoo
ريشة اركت بوش مشكل,ريشة اركت بوش مشكل,invoice,small,15.0,104041,201002,,,0.95,real_odoo
office expences,office expences,invoice,small,0.0,400044,201002,,,0.95,real_odoo
Nescafe Red Mudc 190g,Nescafe Red Mudc 190g,invoice,small,15.0,400012,201002,,,0.95,real_odoo
Nescafe Red Mudc 190g,Nescafe Red Mudc 190g,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Tools
DRYWALL FLAT WASHER WHEEL BLACK","Tools
DRYWALL FLAT WASHER WHEEL BLACK",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Tools
DRYWALL FLAT WASHER WHEEL BLACK","Tools
DRYWALL FLAT WASHER WHEEL BLACK",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Door And Windows,Door And Windows,invoice,large,15.0,410009,201002,,,0.95,real_odoo
Door And Windows,Door And Windows,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Marble for office 701,Marble for office 701,invoice,large,15.0,106010,201002,,,0.95,real_odoo
Marble for office 701,Marble for office 701,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Drinking Water,Drinking Water,invoice,small,15.0,400026,201002,,,0.95,real_odoo
Drinking Water,Drinking Water,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Staff Expenses
Mahmoud Hamdi","Staff Expenses
Mahmoud Hamdi",invoice,small,0.0,410014,201002,,,0.95,real_odoo
Stationary,Stationary,invoice,small,15.0,400033,201002,,,0.95,real_odoo
Stationary,Stationary,invoice,small,15.0,104041,201002,,,0.95,real_odoo
دسك 1مل حديد,دسك 1مل حديد,invoice,small,0.0,410004,201002,,,0.95,real_odoo
Petrol 91,Petrol 91,invoice,small,0.0,410011,201002,,,0.95,real_odoo
Corner Angle GI-20*20*50*1MM,Corner Angle GI-20*20*50*1MM,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Corner Angle GI-20*20*50*1MM,Corner Angle GI-20*20*50*1MM,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
service,service,invoice,small,0.0,400041,201002,,,0.95,real_odoo
"service
Washing big car without plastic","service
Washing big car without plastic",invoice,small,0.0,400041,201002,,,0.95,real_odoo
Ticket,Ticket,invoice,medium,0.0,400006,201002,,,0.95,real_odoo
"Tickets
Eng. Ahmed Abdulrahman","Tickets
Eng. Ahmed Abdulrahman",invoice,medium,0.0,400024,201002,,,0.95,real_odoo
"Tickets
Mr.Russell Cranmerir","Tickets
Mr.Russell Cranmerir",invoice,medium,0.0,400024,201002,,,0.95,real_odoo
"Ticket
Ali riafat TKT2","Ticket
Ali riafat TKT2",invoice,medium,0.0,400006,201002,,,0.95,real_odoo
Fuel Balance Recharge,Fuel Balance Recharge,invoice,large,15.0,104039,201002,,,0.95,real_odoo
Fuel Balance Recharge,Fuel Balance Recharge,invoice,large,15.0,104041,201002,,,0.95,real_odoo
كفوف ابيض قطن وينر (500ج) ابيض ثقيل,كفوف ابيض قطن وينر (500ج) ابيض ثقيل,invoice,small,0.0,410004,201002,,,0.95,real_odoo
مفتاح جنزير دبل,مفتاح جنزير دبل,invoice,small,15.0,410004,201002,,,0.95,real_odoo
مفتاح جنزير دبل,مفتاح جنزير دبل,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"tool,standard 110 PER EA","tool,standard 110 PER EA",invoice,medium,15.0,106010,201002,,,0.95,real_odoo
"tool,standard 110 PER EA","tool,standard 110 PER EA",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
AWG10 wire - Alfanar ( Box ) AWG10 wire - Alfanar,AWG10 wire - Alfanar ( Box ) AWG10 wire - Alfanar,invoice,large,15.0,410007,201002,,,0.95,real_odoo
AWG10 wire - Alfanar ( Box ) AWG10 wire - Alfanar,AWG10 wire - Alfanar ( Box ) AWG10 wire - Alfanar,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Drill bit screw,Drill bit screw,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Drill bit screw,Drill bit screw,invoice,small,15.0,104041,201002,,,0.95,real_odoo
AC03 Silver Bit 2*65M,AC03 Silver Bit 2*65M,invoice,small,15.0,410004,201002,,,0.95,real_odoo
AC03 Silver Bit 2*65M,AC03 Silver Bit 2*65M,invoice,small,15.0,104041,201002,,,0.95,real_odoo
7*1 -P Self drilling drywall screw B/HEAD ( PKT 1000 ) Self drilling drywall screw B/HEAD ( PKT 1000 ),7*1 -P Self drilling drywall screw B/HEAD ( PKT 1000 ) Self drilling drywall screw B/HEAD ( PKT 1000 ),invoice,small,15.0,410004,201002,,,0.95,real_odoo
7*1 -P Self drilling drywall screw B/HEAD ( PKT 1000 ) Self drilling drywall screw B/HEAD ( PKT 1000 ),7*1 -P Self drilling drywall screw B/HEAD ( PKT 1000 ) Self drilling drywall screw B/HEAD ( PKT 1000 ),invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Electric pipe black 1/2"" 20MM ( bundle ) Electric pipe black ( bundle )","Electric pipe black 1/2"" 20MM ( bundle ) Electric pipe black ( bundle )",invoice,medium,15.0,410007,201002,,,0.95,real_odoo
"Electric pipe black 1/2"" 20MM ( bundle ) Electric pipe black ( bundle )","Electric pipe black 1/2"" 20MM ( bundle ) Electric pipe black ( bundle )",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"one side pip clamp 3/4""","one side pip clamp 3/4""",invoice,small,15.0,410015,201002,,,0.95,real_odoo
"one side pip clamp 3/4""","one side pip clamp 3/4""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"PPR canceled valve 3/4"" - Green","PPR canceled valve 3/4"" - Green",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"PPR canceled valve 3/4"" - Green","PPR canceled valve 3/4"" - Green",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"one side pipe clamp 1/2"" ( Box )","one side pipe clamp 1/2"" ( Box )",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"one side pipe clamp 1/2"" ( Box )","one side pipe clamp 1/2"" ( Box )",invoice,small,15.0,104041,201002,,,0.95,real_odoo
معجون شيت روك كبير,معجون شيت روك كبير,invoice,small,15.0,410004,201002,,,0.95,real_odoo
معجون شيت روك كبير,معجون شيت روك كبير,invoice,small,15.0,104041,201002,,,0.95,real_odoo
خيط مكرة ابيض ثقيل 200  جرام,خيط مكرة ابيض ثقيل 200  جرام,invoice,small,15.0,410004,201002,,,0.95,real_odoo
خيط مكرة ابيض ثقيل 200  جرام,خيط مكرة ابيض ثقيل 200  جرام,invoice,small,15.0,104041,201002,,,0.95,real_odoo
غراء 1  كيلو الاصلي,غراء 1  كيلو الاصلي,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
غراء 1  كيلو الاصلي,غراء 1  كيلو الاصلي,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
زاوية مخرمة,زاوية مخرمة,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
زاوية مخرمة,زاوية مخرمة,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Hi-Tech wrapping tape ( BOX ) Hi-Tech wrapping tape,Hi-Tech wrapping tape ( BOX ) Hi-Tech wrapping tape,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Hi-Tech wrapping tape ( BOX ) Hi-Tech wrapping tape,Hi-Tech wrapping tape ( BOX ) Hi-Tech wrapping tape,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"PPR Elbo brass 1""*3/4""","PPR Elbo brass 1""*3/4""",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"PPR Elbo brass 1""*3/4""","PPR Elbo brass 1""*3/4""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Elbo PVC 1"" SCH40 45 degree","Elbo PVC 1"" SCH40 45 degree",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"Elbo PVC 1"" SCH40 45 degree","Elbo PVC 1"" SCH40 45 degree",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Self drilling screw 090-7*1 ( BOX ) Self drilling screw 090-7*1,Self drilling screw 090-7*1 ( BOX ) Self drilling screw 090-7*1,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Self drilling screw 090-7*1 ( BOX ) Self drilling screw 090-7*1,Self drilling screw 090-7*1 ( BOX ) Self drilling screw 090-7*1,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
جلبة انثى سنه نحاس 32*3/4  اخضر,جلبة انثى سنه نحاس 32*3/4  اخضر,invoice,small,15.0,410007,201002,,,0.95,real_odoo
جلبة انثى سنه نحاس 32*3/4  اخضر,جلبة انثى سنه نحاس 32*3/4  اخضر,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Ticket
Ali riafat TKT","Ticket
Ali riafat TKT",invoice,medium,15.0,400006,201002,,,0.95,real_odoo
"Ticket
Ali riafat TKT","Ticket
Ali riafat TKT",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
حبة مفتاح شينكو 10  ملي,حبة مفتاح شينكو 10  ملي,invoice,small,15.0,410004,201002,,,0.95,real_odoo
حبة مفتاح شينكو 10  ملي,حبة مفتاح شينكو 10  ملي,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"[EXP_GEN] Expenses
15 Oct 2024 To 14 Oct 2025","[EXP_GEN] Expenses
15 Oct 2024 To 14 Oct 2025",invoice,small,15.0,104021,201002,,,0.95,real_odoo
"[EXP_GEN] Expenses
15 Oct 2024 To 14 Oct 2025","[EXP_GEN] Expenses
15 Oct 2024 To 14 Oct 2025",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Riyadh cable 4C*50MM2,Riyadh cable 4C*50MM2,invoice,large,15.0,410007,201002,,,0.95,real_odoo
Riyadh cable 4C*50MM2,Riyadh cable 4C*50MM2,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Tools,Tools,invoice,medium,15.0,400027,201002,,,0.95,real_odoo
"Maintenance
Fork lift","Maintenance
Fork lift",invoice,small,0.0,400048,201002,,,0.95,real_odoo
Equipment Rental,Equipment Rental,invoice,small,0.0,400034,201002,,,0.95,real_odoo
معجون بوتي بودرة,معجون بوتي بودرة,invoice,small,15.0,410004,201002,,,0.95,real_odoo
معجون بوتي بودرة,معجون بوتي بودرة,invoice,small,15.0,104041,201002,,,0.95,real_odoo
CTI/SIZE 60 24*26*60mm,CTI/SIZE 60 24*26*60mm,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
CTI/SIZE 60 24*26*60mm,CTI/SIZE 60 24*26*60mm,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
راس دريل اسود 1/1/2 (7),راس دريل اسود 1/1/2 (7),invoice,medium,15.0,410004,201002,,,0.95,real_odoo
راس دريل اسود 1/1/2 (7),راس دريل اسود 1/1/2 (7),invoice,medium,15.0,104041,201002,,,0.95,real_odoo
D.Stucco Putty,D.Stucco Putty,invoice,small,15.0,410008,201002,,,0.95,real_odoo
D.Stucco Putty,D.Stucco Putty,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Roto carpentry saw blade wood 12""","Roto carpentry saw blade wood 12""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
